key_size,outsize,internal_threads,external_threads,implementation,fanout,time
2834352,1048576,1,1,aesni,3,17.66
2834352,1048576,1,1,aesni,3,17.93
2834352,1048576,1,1,aesni,3,17.76
2834352,1048576,1,1,aesni,3,17.79
2834352,1048576,1,1,aesni,3,17.78
2834352,10485760,1,1,aesni,3,69.61
2834352,10485760,1,1,aesni,3,67.43
2834352,10485760,1,1,aesni,3,66.50
2834352,10485760,1,1,aesni,3,65.94
2834352,10485760,1,1,aesni,3,66.02
2834352,104857600,1,1,aesni,3,628.34
2834352,104857600,1,1,aesni,3,606.39
2834352,104857600,1,1,aesni,3,601.11
2834352,104857600,1,1,aesni,3,601.73
2834352,104857600,1,1,aesni,3,601.65
2834352,1073741824,1,1,aesni,3,6380.11
2834352,1073741824,1,1,aesni,3,6152.69
2834352,1073741824,1,1,aesni,3,6138.92
2834352,1073741824,1,1,aesni,3,6150.17
2834352,1073741824,1,1,aesni,3,6140.88
2834352,10737418240,1,1,aesni,3,63290.41
2834352,10737418240,1,1,aesni,3,59077.26
2834352,10737418240,1,1,aesni,3,58907.93
2834352,10737418240,1,1,aesni,3,58933.54
2834352,10737418240,1,1,aesni,3,58831.75
2834352,107374182400,1,1,aesni,3,599344.49
2834352,107374182400,1,1,aesni,3,597265.43
2834352,107374182400,1,1,aesni,3,607547.31
2834352,107374182400,1,1,aesni,3,608660.25
2834352,107374182400,1,1,aesni,3,600230.08
2834352,1048576,1,2,aesni,3,18.07
2834352,1048576,1,2,aesni,3,16.66
2834352,1048576,1,2,aesni,3,16.55
2834352,1048576,1,2,aesni,3,16.52
2834352,1048576,1,2,aesni,3,16.56
2834352,10485760,1,2,aesni,3,34.31
2834352,10485760,1,2,aesni,3,34.97
2834352,10485760,1,2,aesni,3,32.93
2834352,10485760,1,2,aesni,3,33.29
2834352,10485760,1,2,aesni,3,33.22
2834352,104857600,1,2,aesni,3,331.93
2834352,104857600,1,2,aesni,3,301.59
2834352,104857600,1,2,aesni,3,299.27
2834352,104857600,1,2,aesni,3,302.97
2834352,104857600,1,2,aesni,3,303.50
2834352,1073741824,1,2,aesni,3,3380.69
2834352,1073741824,1,2,aesni,3,3066.30
2834352,1073741824,1,2,aesni,3,3050.64
2834352,1073741824,1,2,aesni,3,3063.75
2834352,1073741824,1,2,aesni,3,3089.06
2834352,10737418240,1,2,aesni,3,33696.50
2834352,10737418240,1,2,aesni,3,30623.44
2834352,10737418240,1,2,aesni,3,30814.37
2834352,10737418240,1,2,aesni,3,30697.80
2834352,10737418240,1,2,aesni,3,30468.66
2834352,107374182400,1,2,aesni,3,323322.79
2834352,107374182400,1,2,aesni,3,323694.10
2834352,107374182400,1,2,aesni,3,323803.35
2834352,107374182400,1,2,aesni,3,324542.14
2834352,107374182400,1,2,aesni,3,323416.52
2834352,1048576,1,3,aesni,3,16.42
2834352,1048576,1,3,aesni,3,16.41
2834352,1048576,1,3,aesni,3,16.41
2834352,1048576,1,3,aesni,3,16.44
2834352,1048576,1,3,aesni,3,16.51
2834352,10485760,1,3,aesni,3,34.63
2834352,10485760,1,3,aesni,3,33.89
2834352,10485760,1,3,aesni,3,33.48
2834352,10485760,1,3,aesni,3,34.77
2834352,10485760,1,3,aesni,3,32.70
2834352,104857600,1,3,aesni,3,233.26
2834352,104857600,1,3,aesni,3,210.06
2834352,104857600,1,3,aesni,3,211.54
2834352,104857600,1,3,aesni,3,211.82
2834352,104857600,1,3,aesni,3,213.95
2834352,1073741824,1,3,aesni,3,2344.43
2834352,1073741824,1,3,aesni,3,2043.20
2834352,1073741824,1,3,aesni,3,2065.98
2834352,1073741824,1,3,aesni,3,2078.90
2834352,1073741824,1,3,aesni,3,2075.07
2834352,10737418240,1,3,aesni,3,23139.63
2834352,10737418240,1,3,aesni,3,20465.35
2834352,10737418240,1,3,aesni,3,20465.71
2834352,10737418240,1,3,aesni,3,20461.75
