key_size,outsize,internal_threads,external_threads,implementation,fanout,time
8503056,1048576,3,1,aesni,3,22.70
8503056,1048576,3,1,aesni,3,23.94
8503056,1048576,3,1,aesni,3,23.63
8503056,1048576,3,1,aesni,3,23.48
8503056,1048576,3,1,aesni,3,23.94
8503056,10485760,3,1,aesni,3,49.23
8503056,10485760,3,1,aesni,3,46.18
8503056,10485760,3,1,aesni,3,46.48
8503056,10485760,3,1,aesni,3,46.87
8503056,10485760,3,1,aesni,3,46.46
8503056,104857600,3,1,aesni,3,323.13
8503056,104857600,3,1,aesni,3,300.38
8503056,104857600,3,1,aesni,3,298.59
8503056,104857600,3,1,aesni,3,298.58
8503056,104857600,3,1,aesni,3,299.47
8503056,1073741824,3,1,aesni,3,3169.11
8503056,1073741824,3,1,aesni,3,2912.39
8503056,1073741824,3,1,aesni,3,2913.26
8503056,1073741824,3,1,aesni,3,2908.17
8503056,1073741824,3,1,aesni,3,2913.06
8503056,10737418240,3,1,aesni,3,31399.46
8503056,10737418240,3,1,aesni,3,28938.21
8503056,10737418240,3,1,aesni,3,28941.54
8503056,10737418240,3,1,aesni,3,28933.17
8503056,10737418240,3,1,aesni,3,28929.13
8503056,107374182400,3,1,aesni,3,294118.99
8503056,107374182400,3,1,aesni,3,294423.62
8503056,107374182400,3,1,aesni,3,294462.08
8503056,107374182400,3,1,aesni,3,294190.87
8503056,107374182400,3,1,aesni,3,294279.57
8503056,1048576,3,2,aesni,3,25.18
8503056,1048576,3,2,aesni,3,22.67
8503056,1048576,3,2,aesni,3,22.51
8503056,1048576,3,2,aesni,3,22.58
8503056,1048576,3,2,aesni,3,22.70
8503056,10485760,3,2,aesni,3,27.41
8503056,10485760,3,2,aesni,3,23.01
8503056,10485760,3,2,aesni,3,20.39
8503056,10485760,3,2,aesni,3,23.43
8503056,10485760,3,2,aesni,3,24.05
8503056,104857600,3,2,aesni,3,186.68
8503056,104857600,3,2,aesni,3,164.33
8503056,104857600,3,2,aesni,3,149.77
8503056,104857600,3,2,aesni,3,165.13
8503056,104857600,3,2,aesni,3,163.61
8503056,1073741824,3,2,aesni,3,1768.74
8503056,1073741824,3,2,aesni,3,1395.21
8503056,1073741824,3,2,aesni,3,1394.30
8503056,1073741824,3,2,aesni,3,1426.50
8503056,1073741824,3,2,aesni,3,1477.35
8503056,10737418240,3,2,aesni,3,17234.08
8503056,10737418240,3,2,aesni,3,13957.91
8503056,10737418240,3,2,aesni,3,13725.76
8503056,10737418240,3,2,aesni,3,14154.40
8503056,10737418240,3,2,aesni,3,13723.26
8503056,107374182400,3,2,aesni,3,144920.35
8503056,107374182400,3,2,aesni,3,144871.55
8503056,107374182400,3,2,aesni,3,144400.19
8503056,107374182400,3,2,aesni,3,144604.87
8503056,107374182400,3,2,aesni,3,144855.14
8503056,1048576,3,3,aesni,3,22.86
8503056,1048576,3,3,aesni,3,22.65
8503056,1048576,3,3,aesni,3,22.65
8503056,1048576,3,3,aesni,3,22.88
8503056,1048576,3,3,aesni,3,22.50
8503056,10485760,3,3,aesni,3,23.30
8503056,10485760,3,3,aesni,3,24.03
8503056,10485760,3,3,aesni,3,23.10
8503056,10485760,3,3,aesni,3,22.77
8503056,10485760,3,3,aesni,3,20.19
8503056,104857600,3,3,aesni,3,145.08
8503056,104857600,3,3,aesni,3,110.28
8503056,104857600,3,3,aesni,3,112.09
8503056,104857600,3,3,aesni,3,117.06
8503056,104857600,3,3,aesni,3,116.68
8503056,1073741824,3,3,aesni,3,1292.44
8503056,1073741824,3,3,aesni,3,917.34
8503056,1073741824,3,3,aesni,3,941.78
8503056,1073741824,3,3,aesni,3,921.70
8503056,1073741824,3,3,aesni,3,951.29
8503056,10737418240,3,3,aesni,3,12788.54
8503056,10737418240,3,3,aesni,3,9276.49
8503056,10737418240,3,3,aesni,3,9222.69
8503056,10737418240,3,3,aesni,3,9229.08
8503056,10737418240,3,3,aesni,3,9230.25
8503056,107374182400,3,3,aesni,3,104583.37
8503056,107374182400,3,3,aesni,3,104510.08
8503056,107374182400,3,3,aesni,3,104490.40
8503056,107374182400,3,3,aesni,3,104595.73
8503056,107374182400,3,3,aesni,3,104718.54
8503056,1048576,3,4,aesni,3,23.02
8503056,1048576,3,4,aesni,3,22.72
8503056,1048576,3,4,aesni,3,23.08
8503056,1048576,3,4,aesni,3,22.97
8503056,1048576,3,4,aesni,3,22.84
8503056,10485760,3,4,aesni,3,24.03
8503056,10485760,3,4,aesni,3,20.03
8503056,10485760,3,4,aesni,3,23.58
8503056,10485760,3,4,aesni,3,21.08
8503056,10485760,3,4,aesni,3,23.81
8503056,104857600,3,4,aesni,3,117.97
8503056,104857600,3,4,aesni,3,95.48
8503056,104857600,3,4,aesni,3,80.78
8503056,104857600,3,4,aesni,3,91.26
8503056,104857600,3,4,aesni,3,94.95
8503056,1073741824,3,4,aesni,3,1044.67
8503056,1073741824,3,4,aesni,3,731.03
8503056,1073741824,3,4,aesni,3,742.31
8503056,1073741824,3,4,aesni,3,726.54
8503056,1073741824,3,4,aesni,3,737.65
8503056,10737418240,3,4,aesni,3,10327.32
8503056,10737418240,3,4,aesni,3,7031.40
8503056,10737418240,3,4,aesni,3,7038.15
8503056,10737418240,3,4,aesni,3,7064.97
8503056,10737418240,3,4,aesni,3,7081.52
8503056,107374182400,3,4,aesni,3,81533.04
8503056,107374182400,3,4,aesni,3,81531.87
8503056,107374182400,3,4,aesni,3,81442.40
8503056,107374182400,3,4,aesni,3,81405.47
8503056,107374182400,3,4,aesni,3,81582.32
8503056,1048576,3,5,aesni,3,24.19
8503056,1048576,3,5,aesni,3,23.07
8503056,1048576,3,5,aesni,3,23.28
8503056,1048576,3,5,aesni,3,23.14
8503056,1048576,3,5,aesni,3,22.85
8503056,10485760,3,5,aesni,3,24.47
8503056,10485760,3,5,aesni,3,24.00
8503056,10485760,3,5,aesni,3,23.89
8503056,10485760,3,5,aesni,3,23.94
8503056,10485760,3,5,aesni,3,23.57
8503056,104857600,3,5,aesni,3,111.12
8503056,104857600,3,5,aesni,3,85.24
8503056,104857600,3,5,aesni,3,77.89
8503056,104857600,3,5,aesni,3,82.52
8503056,104857600,3,5,aesni,3,87.04
8503056,1073741824,3,5,aesni,3,914.54
8503056,1073741824,3,5,aesni,3,691.15
8503056,1073741824,3,5,aesni,3,686.81
8503056,1073741824,3,5,aesni,3,694.04
8503056,1073741824,3,5,aesni,3,682.90
8503056,10737418240,3,5,aesni,3,9012.89
8503056,10737418240,3,5,aesni,3,6567.77
8503056,10737418240,3,5,aesni,3,6625.97
8503056,10737418240,3,5,aesni,3,6666.41
8503056,10737418240,3,5,aesni,3,6605.74
8503056,107374182400,3,5,aesni,3,82466.79
8503056,107374182400,3,5,aesni,3,82462.80
8503056,107374182400,3,5,aesni,3,82463.18
8503056,107374182400,3,5,aesni,3,82388.02
8503056,107374182400,3,5,aesni,3,82237.66
8503056,1048576,3,6,aesni,3,24.51
8503056,1048576,3,6,aesni,3,22.81
8503056,1048576,3,6,aesni,3,22.50
8503056,1048576,3,6,aesni,3,23.12
8503056,1048576,3,6,aesni,3,22.67
8503056,10485760,3,6,aesni,3,24.60
8503056,10485760,3,6,aesni,3,24.24
