key_size,outsize,internal_threads,external_threads,implementation,fanout,time
12582912,1048576,1,1,wolfssl,2,299.33
12582912,1048576,1,1,wolfssl,2,299.54
12582912,1048576,1,1,wolfssl,2,299.67
12582912,1048576,1,1,wolfssl,2,299.38
12582912,1048576,1,1,wolfssl,2,299.48
12582912,1048576,1,1,openssl,2,492.85
12582912,1048576,1,1,openssl,2,493.88
12582912,1048576,1,1,openssl,2,518.42
12582912,1048576,1,1,openssl,2,494.77
12582912,1048576,1,1,openssl,2,525.59
12582912,1048576,1,1,aesni,2,190.19
12582912,1048576,1,1,aesni,2,190.30
12582912,1048576,1,1,aesni,2,190.46
12582912,1048576,1,1,aesni,2,191.04
12582912,1048576,1,1,aesni,2,190.77
12582912,5242880,1,1,wolfssl,2,302.57
12582912,5242880,1,1,wolfssl,2,300.02
12582912,5242880,1,1,wolfssl,2,300.09
12582912,5242880,1,1,wolfssl,2,299.97
12582912,5242880,1,1,wolfssl,2,300.21
12582912,5242880,1,1,openssl,2,527.64
12582912,5242880,1,1,openssl,2,526.63
12582912,5242880,1,1,openssl,2,522.20
12582912,5242880,1,1,openssl,2,520.21
12582912,5242880,1,1,openssl,2,511.75
12582912,5242880,1,1,aesni,2,191.26
12582912,5242880,1,1,aesni,2,191.35
12582912,5242880,1,1,aesni,2,190.97
12582912,5242880,1,1,aesni,2,191.23
12582912,5242880,1,1,aesni,2,191.45
12582912,10485760,1,1,wolfssl,2,309.57
12582912,10485760,1,1,wolfssl,2,302.25
12582912,10485760,1,1,wolfssl,2,301.97
12582912,10485760,1,1,wolfssl,2,302.37
12582912,10485760,1,1,wolfssl,2,302.01
12582912,10485760,1,1,openssl,2,528.75
12582912,10485760,1,1,openssl,2,528.47
12582912,10485760,1,1,openssl,2,505.38
12582912,10485760,1,1,openssl,2,493.16
12582912,10485760,1,1,openssl,2,527.47
12582912,10485760,1,1,aesni,2,192.99
12582912,10485760,1,1,aesni,2,193.30
12582912,10485760,1,1,aesni,2,193.33
12582912,10485760,1,1,aesni,2,193.29
12582912,10485760,1,1,aesni,2,193.08
