key_size,outsize,internal_threads,external_threads,enc_mode,implementation,one_way_mix_type,fanout,time
8388608,8388608,1,1,none,openssl-aes-128,none,2,50.44
8388608,8388608,1,1,none,openssl-aes-128,none,2,44.28
8388608,8388608,1,1,none,openssl-aes-128,none,2,41.84
8388608,8388608,1,1,none,openssl-aes-128,none,2,41.44
8388608,8388608,1,1,none,openssl-aes-128,none,2,42.09
8388608,8388608,2,1,none,openssl-aes-128,none,2,27.90
8388608,8388608,2,1,none,openssl-aes-128,none,2,26.01
8388608,8388608,2,1,none,openssl-aes-128,none,2,24.33
8388608,8388608,2,1,none,openssl-aes-128,none,2,26.48
8388608,8388608,2,1,none,openssl-aes-128,none,2,26.48
8388608,8388608,4,1,none,openssl-aes-128,none,2,15.82
8388608,8388608,4,1,none,openssl-aes-128,none,2,15.75
8388608,8388608,4,1,none,openssl-aes-128,none,2,15.83
8388608,8388608,4,1,none,openssl-aes-128,none,2,15.79
8388608,8388608,4,1,none,openssl-aes-128,none,2,16.38
8388608,8388608,8,1,none,openssl-aes-128,none,2,10.45
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.88
8388608,8388608,8,1,none,openssl-aes-128,none,2,10.12
8388608,8388608,8,1,none,openssl-aes-128,none,2,10.37
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.63
16777216,16777216,1,1,none,openssl-aes-128,none,2,103.81
16777216,16777216,1,1,none,openssl-aes-128,none,2,95.17
16777216,16777216,1,1,none,openssl-aes-128,none,2,89.52
16777216,16777216,1,1,none,openssl-aes-128,none,2,78.51
16777216,16777216,1,1,none,openssl-aes-128,none,2,68.82
16777216,16777216,2,1,none,openssl-aes-128,none,2,46.98
16777216,16777216,2,1,none,openssl-aes-128,none,2,45.04
16777216,16777216,2,1,none,openssl-aes-128,none,2,43.45
16777216,16777216,2,1,none,openssl-aes-128,none,2,45.04
16777216,16777216,2,1,none,openssl-aes-128,none,2,43.62
16777216,16777216,4,1,none,openssl-aes-128,none,2,34.61
16777216,16777216,4,1,none,openssl-aes-128,none,2,26.29
16777216,16777216,4,1,none,openssl-aes-128,none,2,26.57
16777216,16777216,4,1,none,openssl-aes-128,none,2,27.08
16777216,16777216,4,1,none,openssl-aes-128,none,2,27.14
16777216,16777216,8,1,none,openssl-aes-128,none,2,25.51
16777216,16777216,8,1,none,openssl-aes-128,none,2,18.25
16777216,16777216,8,1,none,openssl-aes-128,none,2,17.94
16777216,16777216,8,1,none,openssl-aes-128,none,2,17.68
16777216,16777216,8,1,none,openssl-aes-128,none,2,17.87
33554432,33554432,1,1,none,openssl-aes-128,none,2,180.77
33554432,33554432,1,1,none,openssl-aes-128,none,2,160.85
33554432,33554432,1,1,none,openssl-aes-128,none,2,159.84
33554432,33554432,1,1,none,openssl-aes-128,none,2,159.21
33554432,33554432,1,1,none,openssl-aes-128,none,2,161.18
33554432,33554432,2,1,none,openssl-aes-128,none,2,102.50
33554432,33554432,2,1,none,openssl-aes-128,none,2,100.80
33554432,33554432,2,1,none,openssl-aes-128,none,2,102.64
33554432,33554432,2,1,none,openssl-aes-128,none,2,104.09
33554432,33554432,2,1,none,openssl-aes-128,none,2,102.23
33554432,33554432,4,1,none,openssl-aes-128,none,2,60.78
33554432,33554432,4,1,none,openssl-aes-128,none,2,65.44
33554432,33554432,4,1,none,openssl-aes-128,none,2,65.64
33554432,33554432,4,1,none,openssl-aes-128,none,2,66.61
33554432,33554432,4,1,none,openssl-aes-128,none,2,64.49
33554432,33554432,8,1,none,openssl-aes-128,none,2,40.55
33554432,33554432,8,1,none,openssl-aes-128,none,2,46.89
33554432,33554432,8,1,none,openssl-aes-128,none,2,46.43
33554432,33554432,8,1,none,openssl-aes-128,none,2,46.96
33554432,33554432,8,1,none,openssl-aes-128,none,2,45.97
67108864,67108864,1,1,none,openssl-aes-128,none,2,380.00
67108864,67108864,1,1,none,openssl-aes-128,none,2,337.60
67108864,67108864,1,1,none,openssl-aes-128,none,2,340.97
67108864,67108864,1,1,none,openssl-aes-128,none,2,337.57
67108864,67108864,1,1,none,openssl-aes-128,none,2,337.43
67108864,67108864,2,1,none,openssl-aes-128,none,2,208.83
67108864,67108864,2,1,none,openssl-aes-128,none,2,196.12
67108864,67108864,2,1,none,openssl-aes-128,none,2,200.23
67108864,67108864,2,1,none,openssl-aes-128,none,2,200.65
67108864,67108864,2,1,none,openssl-aes-128,none,2,202.06
67108864,67108864,4,1,none,openssl-aes-128,none,2,141.22
67108864,67108864,4,1,none,openssl-aes-128,none,2,125.09
67108864,67108864,4,1,none,openssl-aes-128,none,2,126.83
67108864,67108864,4,1,none,openssl-aes-128,none,2,133.20
67108864,67108864,4,1,none,openssl-aes-128,none,2,131.14
67108864,67108864,8,1,none,openssl-aes-128,none,2,89.01
67108864,67108864,8,1,none,openssl-aes-128,none,2,92.94
67108864,67108864,8,1,none,openssl-aes-128,none,2,93.11
67108864,67108864,8,1,none,openssl-aes-128,none,2,95.57
67108864,67108864,8,1,none,openssl-aes-128,none,2,94.12
134217728,134217728,1,1,none,openssl-aes-128,none,2,776.03
134217728,134217728,1,1,none,openssl-aes-128,none,2,700.15
134217728,134217728,1,1,none,openssl-aes-128,none,2,699.57
134217728,134217728,1,1,none,openssl-aes-128,none,2,702.87
134217728,134217728,1,1,none,openssl-aes-128,none,2,700.86
134217728,134217728,2,1,none,openssl-aes-128,none,2,417.91
134217728,134217728,2,1,none,openssl-aes-128,none,2,396.65
134217728,134217728,2,1,none,openssl-aes-128,none,2,394.76
134217728,134217728,2,1,none,openssl-aes-128,none,2,397.11
134217728,134217728,2,1,none,openssl-aes-128,none,2,400.21
134217728,134217728,4,1,none,openssl-aes-128,none,2,266.09
134217728,134217728,4,1,none,openssl-aes-128,none,2,250.72
134217728,134217728,4,1,none,openssl-aes-128,none,2,257.38
134217728,134217728,4,1,none,openssl-aes-128,none,2,258.51
134217728,134217728,4,1,none,openssl-aes-128,none,2,263.15
134217728,134217728,8,1,none,openssl-aes-128,none,2,180.40
134217728,134217728,8,1,none,openssl-aes-128,none,2,170.28
134217728,134217728,8,1,none,openssl-aes-128,none,2,170.93
134217728,134217728,8,1,none,openssl-aes-128,none,2,170.36
134217728,134217728,8,1,none,openssl-aes-128,none,2,172.29
268435456,268435456,1,1,none,openssl-aes-128,none,2,1612.42
268435456,268435456,1,1,none,openssl-aes-128,none,2,1452.54
268435456,268435456,1,1,none,openssl-aes-128,none,2,1455.07
268435456,268435456,1,1,none,openssl-aes-128,none,2,1453.65
