key_size,outsize,internal_threads,external_threads,implementation,fanout,time
12582912,12582912,1,1,wolfssl,2,177.48
12582912,12582912,1,1,wolfssl,2,177.77
12582912,12582912,1,1,wolfssl,2,177.19
12582912,12582912,1,1,wolfssl,2,177.29
12582912,12582912,1,1,wolfssl,2,177.33
12582912,12582912,1,1,openssl,2,256.53
12582912,12582912,1,1,openssl,2,256.64
12582912,12582912,1,1,openssl,2,256.62
12582912,12582912,1,1,openssl,2,256.39
12582912,12582912,1,1,openssl,2,256.91
12582912,12582912,1,1,aesni,2,117.02
12582912,12582912,1,1,aesni,2,116.93
12582912,12582912,1,1,aesni,2,116.94
12582912,12582912,1,1,aesni,2,116.92
12582912,12582912,1,1,aesni,2,116.88
12582912,12582912,2,1,wolfssl,2,97.96
12582912,12582912,2,1,wolfssl,2,100.08
12582912,12582912,2,1,wolfssl,2,97.43
12582912,12582912,2,1,wolfssl,2,97.22
12582912,12582912,2,1,wolfssl,2,97.68
12582912,12582912,2,1,openssl,2,146.35
12582912,12582912,2,1,openssl,2,145.90
12582912,12582912,2,1,openssl,2,146.26
12582912,12582912,2,1,openssl,2,146.75
12582912,12582912,2,1,openssl,2,146.14
12582912,12582912,2,1,aesni,2,67.97
12582912,12582912,2,1,aesni,2,67.79
12582912,12582912,2,1,aesni,2,67.80
12582912,12582912,2,1,aesni,2,68.08
12582912,12582912,2,1,aesni,2,67.52
12582912,12582912,4,1,wolfssl,2,51.14
12582912,12582912,4,1,wolfssl,2,50.09
12582912,12582912,4,1,wolfssl,2,49.95
12582912,12582912,4,1,wolfssl,2,49.99
12582912,12582912,4,1,wolfssl,2,50.23
12582912,12582912,4,1,openssl,2,74.88
12582912,12582912,4,1,openssl,2,74.78
12582912,12582912,4,1,openssl,2,74.82
12582912,12582912,4,1,openssl,2,74.76
12582912,12582912,4,1,openssl,2,75.25
12582912,12582912,4,1,aesni,2,36.57
12582912,12582912,4,1,aesni,2,36.21
12582912,12582912,4,1,aesni,2,35.04
12582912,12582912,4,1,aesni,2,35.05
12582912,12582912,4,1,aesni,2,34.01
12582912,12582912,8,1,wolfssl,2,26.40
12582912,12582912,8,1,wolfssl,2,25.51
12582912,12582912,8,1,wolfssl,2,25.60
12582912,12582912,8,1,wolfssl,2,25.66
12582912,12582912,8,1,wolfssl,2,25.28
12582912,12582912,8,1,openssl,2,38.66
12582912,12582912,8,1,openssl,2,37.69
12582912,12582912,8,1,openssl,2,40.60
12582912,12582912,8,1,openssl,2,41.79
12582912,12582912,8,1,openssl,2,39.62
12582912,12582912,8,1,aesni,2,18.09
12582912,12582912,8,1,aesni,2,18.08
12582912,12582912,8,1,aesni,2,18.03
12582912,12582912,8,1,aesni,2,17.88
12582912,12582912,8,1,aesni,2,17.94
25165824,25165824,1,1,wolfssl,2,362.47
25165824,25165824,1,1,wolfssl,2,361.52
25165824,25165824,1,1,wolfssl,2,361.91
25165824,25165824,1,1,wolfssl,2,362.33
25165824,25165824,1,1,wolfssl,2,361.76
25165824,25165824,1,1,openssl,2,522.69
25165824,25165824,1,1,openssl,2,522.41
25165824,25165824,1,1,openssl,2,522.96
25165824,25165824,1,1,openssl,2,522.59
25165824,25165824,1,1,openssl,2,522.84
25165824,25165824,1,1,aesni,2,233.64
25165824,25165824,1,1,aesni,2,233.80
25165824,25165824,1,1,aesni,2,233.55
25165824,25165824,1,1,aesni,2,233.66
25165824,25165824,1,1,aesni,2,233.58
25165824,25165824,2,1,wolfssl,2,204.83
25165824,25165824,2,1,wolfssl,2,203.69
25165824,25165824,2,1,wolfssl,2,204.26
25165824,25165824,2,1,wolfssl,2,204.26
25165824,25165824,2,1,wolfssl,2,204.16
25165824,25165824,2,1,openssl,2,305.58
25165824,25165824,2,1,openssl,2,305.55
25165824,25165824,2,1,openssl,2,306.72
25165824,25165824,2,1,openssl,2,306.46
25165824,25165824,2,1,openssl,2,305.70
25165824,25165824,2,1,aesni,2,140.60
25165824,25165824,2,1,aesni,2,140.47
25165824,25165824,2,1,aesni,2,140.51
25165824,25165824,2,1,aesni,2,140.39
25165824,25165824,2,1,aesni,2,140.51
25165824,25165824,4,1,wolfssl,2,106.26
25165824,25165824,4,1,wolfssl,2,104.28
25165824,25165824,4,1,wolfssl,2,104.59
25165824,25165824,4,1,wolfssl,2,109.19
25165824,25165824,4,1,wolfssl,2,105.18
25165824,25165824,4,1,openssl,2,156.41
25165824,25165824,4,1,openssl,2,155.01
25165824,25165824,4,1,openssl,2,173.32
25165824,25165824,4,1,openssl,2,155.67
25165824,25165824,4,1,openssl,2,173.96
25165824,25165824,4,1,aesni,2,72.57
25165824,25165824,4,1,aesni,2,72.15
25165824,25165824,4,1,aesni,2,82.50
25165824,25165824,4,1,aesni,2,74.48
25165824,25165824,4,1,aesni,2,72.06
25165824,25165824,8,1,wolfssl,2,54.87
25165824,25165824,8,1,wolfssl,2,53.40
25165824,25165824,8,1,wolfssl,2,55.01
25165824,25165824,8,1,wolfssl,2,54.98
25165824,25165824,8,1,wolfssl,2,54.11
25165824,25165824,8,1,openssl,2,80.83
25165824,25165824,8,1,openssl,2,80.78
25165824,25165824,8,1,openssl,2,79.69
25165824,25165824,8,1,openssl,2,89.40
25165824,25165824,8,1,openssl,2,94.55
25165824,25165824,8,1,aesni,2,39.99
25165824,25165824,8,1,aesni,2,39.99
25165824,25165824,8,1,aesni,2,37.63
25165824,25165824,8,1,aesni,2,38.25
25165824,25165824,8,1,aesni,2,37.77
50331648,50331648,1,1,wolfssl,2,764.85
50331648,50331648,1,1,wolfssl,2,760.33
50331648,50331648,1,1,wolfssl,2,759.64
50331648,50331648,1,1,wolfssl,2,759.08
50331648,50331648,1,1,wolfssl,2,759.32
50331648,50331648,1,1,openssl,2,1103.17
50331648,50331648,1,1,openssl,2,1102.64
50331648,50331648,1,1,openssl,2,1102.79
