key_size,outsize,internal_threads,external_threads,enc_mode,implementation,one_way_mix_type,fanout,time
8388608,8388608,1,1,none,openssl-aes-128,none,2,52.98
8388608,8388608,1,1,none,openssl-aes-128,none,2,39.57
8388608,8388608,1,1,none,openssl-aes-128,none,2,38.52
8388608,8388608,1,1,none,openssl-aes-128,none,2,38.69
8388608,8388608,1,1,none,openssl-aes-128,none,2,38.53
8388608,8388608,2,1,none,openssl-aes-128,none,2,27.64
8388608,8388608,2,1,none,openssl-aes-128,none,2,26.18
8388608,8388608,2,1,none,openssl-aes-128,none,2,30.47
8388608,8388608,2,1,none,openssl-aes-128,none,2,24.50
8388608,8388608,2,1,none,openssl-aes-128,none,2,30.74
8388608,8388608,3,1,none,openssl-aes-128,none,2,22.42
8388608,8388608,3,1,none,openssl-aes-128,none,2,22.59
8388608,8388608,3,1,none,openssl-aes-128,none,2,22.35
8388608,8388608,3,1,none,openssl-aes-128,none,2,22.16
8388608,8388608,3,1,none,openssl-aes-128,none,2,23.12
8388608,8388608,4,1,none,openssl-aes-128,none,2,18.89
8388608,8388608,4,1,none,openssl-aes-128,none,2,16.19
8388608,8388608,4,1,none,openssl-aes-128,none,2,18.59
8388608,8388608,4,1,none,openssl-aes-128,none,2,18.09
8388608,8388608,4,1,none,openssl-aes-128,none,2,17.23
8388608,8388608,5,1,none,openssl-aes-128,none,2,14.74
8388608,8388608,5,1,none,openssl-aes-128,none,2,15.27
8388608,8388608,5,1,none,openssl-aes-128,none,2,15.34
8388608,8388608,5,1,none,openssl-aes-128,none,2,15.10
8388608,8388608,5,1,none,openssl-aes-128,none,2,15.23
8388608,8388608,6,1,none,openssl-aes-128,none,2,13.02
8388608,8388608,6,1,none,openssl-aes-128,none,2,12.91
8388608,8388608,6,1,none,openssl-aes-128,none,2,12.75
8388608,8388608,6,1,none,openssl-aes-128,none,2,12.85
8388608,8388608,6,1,none,openssl-aes-128,none,2,12.91
8388608,8388608,7,1,none,openssl-aes-128,none,2,11.42
8388608,8388608,7,1,none,openssl-aes-128,none,2,10.85
8388608,8388608,7,1,none,openssl-aes-128,none,2,12.00
8388608,8388608,7,1,none,openssl-aes-128,none,2,11.24
8388608,8388608,7,1,none,openssl-aes-128,none,2,11.00
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.09
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.15
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.31
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.14
8388608,8388608,8,1,none,openssl-aes-128,none,2,9.21
8388608,8388608,9,1,none,openssl-aes-128,none,2,9.39
8388608,8388608,9,1,none,openssl-aes-128,none,2,9.25
8388608,8388608,9,1,none,openssl-aes-128,none,2,9.33
8388608,8388608,9,1,none,openssl-aes-128,none,2,10.45
8388608,8388608,9,1,none,openssl-aes-128,none,2,10.12
8388608,8388608,10,1,none,openssl-aes-128,none,2,9.13
8388608,8388608,10,1,none,openssl-aes-128,none,2,9.58
8388608,8388608,10,1,none,openssl-aes-128,none,2,9.79
8388608,8388608,10,1,none,openssl-aes-128,none,2,9.90
8388608,8388608,10,1,none,openssl-aes-128,none,2,9.71
8388608,8388608,11,1,none,openssl-aes-128,none,2,9.81
8388608,8388608,11,1,none,openssl-aes-128,none,2,9.56
8388608,8388608,11,1,none,openssl-aes-128,none,2,9.40
8388608,8388608,11,1,none,openssl-aes-128,none,2,9.57
8388608,8388608,11,1,none,openssl-aes-128,none,2,9.73
8388608,8388608,12,1,none,openssl-aes-128,none,2,9.49
8388608,8388608,12,1,none,openssl-aes-128,none,2,9.04
8388608,8388608,12,1,none,openssl-aes-128,none,2,12.53
8388608,8388608,12,1,none,openssl-aes-128,none,2,9.30
8388608,8388608,12,1,none,openssl-aes-128,none,2,9.19
16777216,16777216,1,1,none,openssl-aes-128,none,2,122.12
16777216,16777216,1,1,none,openssl-aes-128,none,2,89.93
16777216,16777216,1,1,none,openssl-aes-128,none,2,90.33
16777216,16777216,1,1,none,openssl-aes-128,none,2,89.25
16777216,16777216,1,1,none,openssl-aes-128,none,2,90.17
16777216,16777216,2,1,none,openssl-aes-128,none,2,54.34
16777216,16777216,2,1,none,openssl-aes-128,none,2,50.46
16777216,16777216,2,1,none,openssl-aes-128,none,2,46.87
16777216,16777216,2,1,none,openssl-aes-128,none,2,47.12
16777216,16777216,2,1,none,openssl-aes-128,none,2,47.45
16777216,16777216,3,1,none,openssl-aes-128,none,2,43.21
16777216,16777216,3,1,none,openssl-aes-128,none,2,44.65
16777216,16777216,3,1,none,openssl-aes-128,none,2,45.31
16777216,16777216,3,1,none,openssl-aes-128,none,2,46.25
16777216,16777216,3,1,none,openssl-aes-128,none,2,46.30
16777216,16777216,4,1,none,openssl-aes-128,none,2,35.88
16777216,16777216,4,1,none,openssl-aes-128,none,2,30.09
16777216,16777216,4,1,none,openssl-aes-128,none,2,36.59
16777216,16777216,4,1,none,openssl-aes-128,none,2,31.16
16777216,16777216,4,1,none,openssl-aes-128,none,2,30.51
16777216,16777216,5,1,none,openssl-aes-128,none,2,30.65
16777216,16777216,5,1,none,openssl-aes-128,none,2,31.35
16777216,16777216,5,1,none,openssl-aes-128,none,2,31.89
16777216,16777216,5,1,none,openssl-aes-128,none,2,31.50
16777216,16777216,5,1,none,openssl-aes-128,none,2,30.35
16777216,16777216,6,1,none,openssl-aes-128,none,2,25.79
16777216,16777216,6,1,none,openssl-aes-128,none,2,26.71
16777216,16777216,6,1,none,openssl-aes-128,none,2,25.00
16777216,16777216,6,1,none,openssl-aes-128,none,2,24.08
16777216,16777216,6,1,none,openssl-aes-128,none,2,25.49
16777216,16777216,7,1,none,openssl-aes-128,none,2,23.28
16777216,16777216,7,1,none,openssl-aes-128,none,2,23.15
16777216,16777216,7,1,none,openssl-aes-128,none,2,22.19
16777216,16777216,7,1,none,openssl-aes-128,none,2,23.46
16777216,16777216,7,1,none,openssl-aes-128,none,2,22.96
16777216,16777216,8,1,none,openssl-aes-128,none,2,19.76
16777216,16777216,8,1,none,openssl-aes-128,none,2,19.72
16777216,16777216,8,1,none,openssl-aes-128,none,2,19.90
16777216,16777216,8,1,none,openssl-aes-128,none,2,20.28
16777216,16777216,8,1,none,openssl-aes-128,none,2,20.10
16777216,16777216,9,1,none,openssl-aes-128,none,2,18.82
16777216,16777216,9,1,none,openssl-aes-128,none,2,18.45
16777216,16777216,9,1,none,openssl-aes-128,none,2,18.20
16777216,16777216,9,1,none,openssl-aes-128,none,2,18.22
16777216,16777216,9,1,none,openssl-aes-128,none,2,18.10
16777216,16777216,10,1,none,openssl-aes-128,none,2,17.23
16777216,16777216,10,1,none,openssl-aes-128,none,2,16.90
16777216,16777216,10,1,none,openssl-aes-128,none,2,17.17
16777216,16777216,10,1,none,openssl-aes-128,none,2,22.56
16777216,16777216,10,1,none,openssl-aes-128,none,2,21.68
16777216,16777216,11,1,none,openssl-aes-128,none,2,16.52
16777216,16777216,11,1,none,openssl-aes-128,none,2,17.03
16777216,16777216,11,1,none,openssl-aes-128,none,2,19.48
16777216,16777216,11,1,none,openssl-aes-128,none,2,17.23
16777216,16777216,11,1,none,openssl-aes-128,none,2,15.84
16777216,16777216,12,1,none,openssl-aes-128,none,2,17.89
16777216,16777216,12,1,none,openssl-aes-128,none,2,15.28
16777216,16777216,12,1,none,openssl-aes-128,none,2,15.18
16777216,16777216,12,1,none,openssl-aes-128,none,2,16.02
16777216,16777216,12,1,none,openssl-aes-128,none,2,17.42
33554432,33554432,1,1,none,openssl-aes-128,none,2,249.51
33554432,33554432,1,1,none,openssl-aes-128,none,2,199.92
33554432,33554432,1,1,none,openssl-aes-128,none,2,200.95
33554432,33554432,1,1,none,openssl-aes-128,none,2,200.98
33554432,33554432,1,1,none,openssl-aes-128,none,2,201.63
33554432,33554432,2,1,none,openssl-aes-128,none,2,129.27
33554432,33554432,2,1,none,openssl-aes-128,none,2,118.65
33554432,33554432,2,1,none,openssl-aes-128,none,2,116.70
33554432,33554432,2,1,none,openssl-aes-128,none,2,115.96
33554432,33554432,2,1,none,openssl-aes-128,none,2,115.65
33554432,33554432,3,1,none,openssl-aes-128,none,2,93.16
33554432,33554432,3,1,none,openssl-aes-128,none,2,92.85
33554432,33554432,3,1,none,openssl-aes-128,none,2,89.08
33554432,33554432,3,1,none,openssl-aes-128,none,2,91.73
33554432,33554432,3,1,none,openssl-aes-128,none,2,92.37
33554432,33554432,4,1,none,openssl-aes-128,none,2,59.52
33554432,33554432,4,1,none,openssl-aes-128,none,2,70.07
33554432,33554432,4,1,none,openssl-aes-128,none,2,57.08
33554432,33554432,4,1,none,openssl-aes-128,none,2,50.63
33554432,33554432,4,1,none,openssl-aes-128,none,2,72.46
33554432,33554432,5,1,none,openssl-aes-128,none,2,61.67
33554432,33554432,5,1,none,openssl-aes-128,none,2,65.31
33554432,33554432,5,1,none,openssl-aes-128,none,2,58.55
33554432,33554432,5,1,none,openssl-aes-128,none,2,61.23
33554432,33554432,5,1,none,openssl-aes-128,none,2,64.84
33554432,33554432,6,1,none,openssl-aes-128,none,2,54.52
33554432,33554432,6,1,none,openssl-aes-128,none,2,54.80
33554432,33554432,6,1,none,openssl-aes-128,none,2,56.61
33554432,33554432,6,1,none,openssl-aes-128,none,2,57.23
33554432,33554432,6,1,none,openssl-aes-128,none,2,58.33
33554432,33554432,7,1,none,openssl-aes-128,none,2,46.73
33554432,33554432,7,1,none,openssl-aes-128,none,2,47.65
33554432,33554432,7,1,none,openssl-aes-128,none,2,47.76
